Time,PFHxS_T,PFOA_T,PFOS_T,Precip,PFHxS_G,PFOA_G,PFOS_G
29.0,0.0,0.0,0.0,0.00042077966101694916,0.0,0.0,0.0
73.5,0.0,0.0,0.0,0.00082973333333333,0.0,0.0,0.0
181.0,0.0,0.0,0.0,0.0020398810810810806,0.0,0.0,0.0
288.5,0.0,0.0,0.0,0.0008043333333333267,0.0,0.0,0.0
334.0,0.0,0.0,0.0,0.00011242622950819672,0.0,0.0,0.0
394.0,0.0,0.0,0.0,0.0007135254237288118,0.0,0.0,0.0
438.5,0.0,0.0,0.0,0.00028786666666666665,0.0,0.0,0.0
546.0,0.0,0.0,0.0,0.0015030486486486464,0.0,0.0,0.0
653.5,0.0,0.0,0.0,0.00019473333333333334,0.0,0.0,0.0
699.0,0.0,0.0,0.0,0.00010826229508196722,0.0,0.0,0.0
759.0,0.0,0.0,0.0,0.0005628474576271187,0.0,0.0,0.0
803.5,0.0,0.0,0.0,0.0004656666666666634,0.0,0.0,0.0
911.5,0.0,0.0,0.0,0.002252870967741932,0.0,0.0,0.0
1019.5,0.0,0.0,0.0,0.00113453333333333,0.0,0.0,0.0
1065.0,0.0,0.0,0.0,0.0011231803278688507,0.0,0.0,0.0
1125.0,9.23802968945424e-09,2.371494220338983e-21,3.1053373220338987e-21,5.166101694915254e-05,9.23802968945424e-09,2.371494220338983e-21,3.1053373220338987e-21
1169.5,3.57016e-06,3.0464220000000004e-17,6.125026666666665e-17,0.00098213333333333,3.57016e-06,3.0464220000000004e-17,6.125026666666665e-17
1277.0,3.848284324324324e-05,6.254228108108108e-15,1.9577263783783785e-14,0.0017131135135135098,3.848284324324324e-05,6.254228108108108e-15,1.9577263783783785e-14
1384.5,0.00010727666666665667,4.223533333333333e-14,1.4759666666666666e-13,0.00029633333333333334,0.00010727666666665667,4.223533333333333e-14,1.4759666666666666e-13
1430.0,0.00016349180327867704,1.1782295081967213e-13,4.537475409836066e-13,0.0006568196721311476,0.00016349180327867704,1.1782295081967213e-13,4.537475409836066e-13
1490.0,0.0003097254237288017,5.531406779661017e-13,2.4643542372881357e-12,0.0001894237288135593,0.0003097254237288017,5.531406779661017e-13,2.4643542372881357e-12
1534.5,0.00045834666666665,1.3752333333333334e-12,6.615066666666666e-12,0.0004402666666666666,0.00045834666666665,1.3752333333333334e-12,6.615066666666666e-12
1642.0,0.0009299199999999875,9.528086486486486e-12,5.666738918918919e-11,0.0009991675675675655,0.0009299199999999875,9.528086486486486e-12,5.666738918918919e-11
1749.5,0.00160179999999999,3.222766666666667e-11,2.1049666666666668e-10,0.0011514666666666666,0.00160179999999999,3.222766666666667e-11,2.1049666666666668e-10
1795.0,0.00198759016393441,5.6894590163934425e-11,3.93944262295082e-10,0.0005985245901639328,0.00198759016393441,5.6894590163934425e-11,3.93944262295082e-10
1855.0,0.00253699999999999,1.079228813559322e-10,7.968186440677966e-10,0.0001808135593220339,0.00253699999999999,1.079228813559322e-10,7.968186440677966e-10
1899.5,0.00294076666666665,1.5969e-10,1.2260666666666666e-09,0.00020319999999999667,0.00294076666666665,1.5969e-10,1.2260666666666666e-09
2007.0,0.0036701405405405252,3.0180324324324324e-10,2.4871459459459456e-09,0.001415178378378375,0.0036701405405405252,3.0180324324324324e-10,2.4871459459459456e-09
2114.5,0.004315999999999997,4.6494e-10,4.0005e-09,0.00044026666666666336,0.004315999999999997,4.6494e-10,4.0005e-09
2160.0,0.004774098360655728,6.027639344262295e-10,5.32672131147541e-09,0.0007734098360655721,0.004774098360655728,6.027639344262295e-10,5.32672131147541e-09
2220.0,0.005565796610169485,8.889135593220339e-10,8.165237288135593e-09,0.00023677966101694577,0.005565796610169485,8.889135593220339e-10,8.165237288135593e-09
2264.5,0.0062411666666666536,1.1910000000000001e-09,1.1259666666666667e-08,0.0005334,0.0062411666666666536,1.1910000000000001e-09,1.1259666666666667e-08
2372.5,0.00788419354838708,2.293032258064516e-09,2.3318172043010754e-08,0.0025860752688172013,0.00788419354838708,2.293032258064516e-09,2.3318172043010754e-08
2480.5,0.010079799999999979,4.2626666666666664e-09,4.598766666666667e-08,0.0004148666666666667,0.010079799999999979,4.2626666666666664e-09,4.598766666666667e-08
2526.0,0.011465901639344247,6.015344262295081e-09,6.727868852459016e-08,0.0005443934426229508,0.011465901639344247,6.015344262295081e-09,6.727868852459016e-08
2586.0,0.01390186440677964,1.017577966101695e-08,1.2041406779661017e-07,0.0002109491525423729,0.01390186440677964,1.017577966101695e-08,1.2041406779661017e-07
2630.5,0.018127333333333325,2.0682666666666668e-08,2.631766666666667e-07,0.0009990666666666668,0.018127333333333325,2.0682666666666668e-08,2.631766666666667e-07
2738.0,0.0249441081081081,5.569124324324324e-08,7.979545945945946e-07,0.002324086486486484,0.0249441081081081,5.569124324324324e-08,7.979545945945946e-07
2845.5,0.0308863333333333,1.0165833333333333e-07,1.5495e-06,0.00016086666666666666,0.0308863333333333,1.0165833333333333e-07,1.5495e-06
2891.0,0.03369295081967212,1.3208032786885246e-07,2.0752295081967212e-06,0.0006526557377049164,0.03369295081967212,1.3208032786885246e-07,2.0752295081967212e-06
2951.0,0.04159915254237287,2.463135593220339e-07,4.161271186440678e-06,0.0002712203389830491,0.04159915254237287,2.463135593220339e-07,4.161271186440678e-06
2995.5,0.04941966666666665,4.0953333333333336e-07,7.3093666666666664e-06,0.0003386666666666667,0.04941966666666665,4.0953333333333336e-07,7.3093666666666664e-06
3103.0,0.0578588108108108,6.937389189189189e-07,1.3251286486486487e-05,0.0014769621621621599,0.0578588108108108,6.937389189189189e-07,1.3251286486486487e-05
3210.5,0.067009,1.0798e-06,2.1664e-05,0.000762,0.067009,1.0798e-06,2.1664e-05
3256.0,0.07108360655737704,1.3018688524590163e-06,2.6715245901639343e-05,0.0009024918032786852,0.07108360655737704,1.3018688524590163e-06,2.6715245901639343e-05
3316.0,0.07623762711864406,1.6271186440677967e-06,3.4293389830508475e-05,0.0002453898305084746,0.07623762711864406,1.6271186440677967e-06,3.4293389830508475e-05
3360.5,0.07964299999999998,1.8744666666666668e-06,4.0186e-05,0.0019473333333333265,0.07964299999999998,1.8744666666666668e-06,4.0186e-05
3468.0,0.08587227027027025,2.418356756756757e-06,5.355643243243243e-05,0.0018613945945945918,0.08587227027027025,2.418356756756757e-06,5.355643243243243e-05
3575.5,0.09389733333333332,3.1781e-06,7.265099999999999e-05,0.00046566666666666664,0.09389733333333332,3.1781e-06,7.265099999999999e-05
3621.0,0.09869770491803277,3.7042459016393443e-06,8.621229508196721e-05,0.0015104262295081966,0.09869770491803277,3.7042459016393443e-06,8.621229508196721e-05
3681.0,0.10732033898305084,4.796966101694915e-06,0.00011508016949151525,0.0002109491525423712,0.10732033898305084,4.796966101694915e-06,0.00011508016949151525
3725.5,0.11550666666666666,6.038933333333333e-06,0.00014877999999998333,0.00102446666666666,0.11550666666666666,6.038933333333333e-06,0.00014877999999998333
3833.5,0.1282279569892473,8.620704301075269e-06,0.00022225215053762044,0.002504139784946235,0.1282279569892473,8.620704301075269e-06,0.00022225215053762044
3941.5,0.14309666666666665,1.2216e-05,0.00032791666666666,8.466666666666666e-06,0.14309666666666665,1.2216e-05,0.00032791666666666
3987.0,0.15804590163934423,1.6924754098360656e-05,0.0004724524590163803,0.0004944262295081968,0.15804590163934423,1.6924754098360656e-05,0.0004724524590163803
4047.0,0.172664406779661,2.2979322033898305e-05,0.0006663983050847372,8.179661016949151e-05,0.172664406779661,2.2979322033898305e-05,0.0006663983050847372
4091.5,0.18317666666666665,2.8221e-05,0.00083915333333331,0.0007874,0.18317666666666665,2.8221e-05,0.00083915333333331
