time,FOUNTAIN NO.1,SC01406518ACD T02-MW006,SC01406518CAA MW 1-1,SC01406519ABD T04-MW004,SC01406519BBB T01-MW002,SC01406520CDB MW2-4,SC01406527ACB1,SC01406527DDB1 BANNING-LEWIS RANCHES,SC01406527DDB2,SC01406527DDC1,SC01406528BBC 03-002,SC01406529BCB T07-MW004,SC01406529CDD PAFB07MW03,SC01406530DBD T07-MW006,SC01406531BBC T13-MW004,SC01406531CBC 04-009,SC01406531DAC T11-MW001,SC01406531DCC T12-MW003,SC01406534AAC1,SC01406534DAB1,SC01406627DCC,SC01406632ADA1 U-4 (WIDEFIELD),SC01406633CAD1,SC01406633DAC2,SC01406633DBB1 U-5,SC01406633DBB2,SC01406633DBB3,SC01406634AAA,SC01406634CCC1,SC01406634DBB1,SC01406634DBB2,SC01406635CAA CO259-26,SC01506503AAB2,SC01506508CAB,SC01506510AAB,SC01506510ABA,SC01506510ABB2,SC01506515DAA,SC01506519BAD1 NONUM-2,SC01506519BCB1 U-17,SC01506522DBA1,SC01506522DBA4,SC01506522DBB1,SC01506527ACA1,SC01506528DCD1 USGS 384231104400600,SC01506528DCD2,SC01506530CDA FRANCOIS,SC01506533BDD1,SC01506602CCC1,SC01506602CCC2 U-9,SC01506603ABA TH-22,SC01506603BAC1 MARS GAS,SC01506603BBC TH-42,SC01506603BCA2,SC01506603CAB1,SC01506603CAB2,SC01506603CAB3 U-08,SC01506603CAB4,SC01506603CAB5,SC01506603CAD1 STRATMOOR HILLS 4,SC01506603DCA1,SC01506603DDB SECURITY 14,SC01506604ABA1 U-7,SC01506604ACA TH-52,SC01506610ADB1 TH-7,SC01506610ADB2 TH-46,SC01506611ACD1 U-10,SC01506611BBB2,SC01506611BCA,SC01506611BDC,SC01506611BDC2,SC01506611BDC3 U-11,SC01506611CAA,SC01506611CDB,SC01506611CDD1,SC01506611CDD2 U-12,SC01506611DCB2,SC01506612ABA,SC01506612CDC CO259-25,SC01506613ADD,SC01506613BCC2,SC01506613CBD1 U-14B,SC01506613CBD2 U-14,SC01506613CCA,SC01506613CDD,SC01506613DDC1 U-15,SC01506614AAC2,SC01506614AAD SECURITY 2,SC01506614ABB,SC01506614ADD,SC01506614BAA,SC01506614BBA  TH-5,SC01506614DAA1 U-13,SC01506614DAD1,SC01506619ADA2,SC01506624ABC1,SC01506624ABC2 U-16,SC01506624BAA1,SC01506624BAD1 WIDEFIELD 4,SC01506624DAB2 U-18,SC01506624DBD2 U-19,SC01506624DBD3,SC01506624DCA1,SC01506625AAA1,SC01606504BBB,SC01606505ADA USGS 384122104410000,SC01606505ADD,SC01606505CCB FOUNTAIN 3,SC01606505DCD,SC01606505DDC,SC01606505DDC2,SC01606506ABB1,SC01606506ABB2,SC01606506ABB3,SC01606506ABB4,SC01606506ACC1,SC01606506DAA FOUNTAIN 2,SC01606506DAB1,SC01606506DAB2,SC01606508AAB,SC01606508DBA1 DELBERT WELLS WELL 1,SC01606508DBB,SC01606508DCB,SC01606508DCC,SC01606516BBA1,SC01606516CCC1,SC01606516CCC2,SC01606517AAA1,SC01606517AAA2,SC01606517DDA,SC01606520AAA1,SC01606520AAB,SC01606521BAB,SC01606521BBA1,SC01606521BBC,SC01606521BCB,SCO1406633DAC2,SCO1406634CCD,SCO1416633DAC1,SCO1506601BBD TH-53,SCO1506602BBB TH-18,SCO1506602BDC,SCO1506602CAA,SCO1506603AAD,SCO1506603BAC,SCO1506604AAA,SCO1506604AAB TH-49,SCO1506604ABA2 TH-50,SCO1506610BAA,SCO1506611ABC TH-47
1520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1781.7114480000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1729.1304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670.6088,,,,,,,,,,1658.4168000000002,,,,,,,,,,,,,,,,
1550.0,,,,,,,,,,,,,,,,,,,1797.6372480000002,1794.06804,,,,,,,,,,,,,,,1765.688112,1767.821712,,1742.03868,,,,1728.42936,1728.100176,1721.848728,1708.580784,,,,,,,,,,,,,,,,1748.783904,1748.152968,,,,,,,,,,,1739.5728480000002,1737.805008,,,,,,,,,,1723.439784,1720.416168,,,,1733.278728,1726.9602240000002,,,,,,,,,,,,,,1711.0130880000002,,,1687.63188,,1679.6308800000002,,,,,,,,,,,,,,,1671.038568,,1689.3296160000002,,1668.7068480000005,,1661.818368,,1654.9878,1653.192528,1658.688072,1657.011672,,,,,,,,,,,,,,,
1826.0,,,,,,,,,,,,,,,,,,,1797.305016,1793.0774400000005,,,,,,,,,,,,,1783.4670960000003,,1764.7554240000002,1767.318792,,1741.84056,,,,,1727.173584,1721.385432,,,,,,,,,,,,,,,,,,1747.016064,,,,,,1744.897704,1744.928184,,,,1737.945216,1736.088984,,,1732.0930560000002,,,,1727.80452,,,1722.308976,1719.1024800000002,,1728.950568,,1731.498696,1726.05192,,,,,,,,,,,,,,1710.65952,,,1687.519104,,1679.6308800000002,,,,,,,,,,,,,,,1671.41652,,1689.41496,,1668.816576,,1661.5470960000002,,1655.554728,1653.0462240000002,1658.450328,,,,,,,,,,,,,,,,
1885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1743.6358320000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1743.565728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1743.651072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1783.604256,,,,,,,,,,1727.0912880000003,,1708.3430400000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1732.464912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670.922744,,,,1668.234408,1669.7888880000005,,,,,,,,,,,,,,,,,,,,,
2616.0,,,,,,,,,,,,,,,,,,,1797.2836800000002,,,,,,,,,,,,,,1783.65912,,,,1762.8504240000002,1741.6272,,,,,1728.176376,,1708.37352,,,,,,,,,1743.79128,,,,,,,,1748.518728,,,,,,,1745.202504,1740.22512,,,,,,,,,,,1731.163416,,,,,,1731.745584,,1734.321144,1728.6122400000002,,,,,,,,,,,,,,,,,1687.625784,,,,,,,,,,,,,,,,,1671.069048,,,,1668.435576,,,,,,,,,,,,,,,,,,,,,,
2831.0,,,,,,,1812.788856,1804.17216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1701.463704,,,,1755.135936,,,1750.919028,,,,,,,,,,,,,,,,,,,,,,,1780.400808,,,,,,,,,,,,,,,,1728.706728,,,,1719.77304,,,,,1714.33236,,,,,1680.959808,,,,,,,,1683.8218800000002,,,,,1673.4282,,,,1668.118584,,,,,,1657.173216,,,,,,,,,,,,,,,,,,,
3011.0,,,,,,,,,,,,,,,,,,,1797.2836800000002,,,,,,,,,,,,,,1783.21716,,,,1763.3198160000002,1741.426032,,,,,1726.5182640000005,,1708.1174880000003,,,,,,,,,,,,,,,,,,,,,,,,1745.120208,1739.069928,,,,1737.914736,,,,,,,1730.5020000000002,,,,,,1730.4044640000002,,1732.992216,1727.899008,,,,,,,,,,,,,,,,,1687.927536,,,,,,,,,,,,,1678.85364,,,,,,,,1668.587976,,1662.08964,,,,,,,,,,,,,,,,,,,,
