x,y,location,type
94,531,Peterson,Golf
94,532,Peterson,Golf
94,533,Peterson,Golf
94,534,Peterson,Golf
94,535,Peterson,Golf
94,536,Peterson,Golf
94,537,Peterson,Golf
94,538,Peterson,Golf
94,539,Peterson,Golf
94,540,Peterson,Golf
94,541,Peterson,Golf
94,542,Peterson,Golf
94,543,Peterson,Golf
94,544,Peterson,Golf
94,545,Peterson,Golf
94,546,Peterson,Golf
94,547,Peterson,Golf
94,548,Peterson,Golf
94,549,Peterson,Golf
94,550,Peterson,Golf
94,551,Peterson,Golf
94,552,Peterson,Golf
94,553,Peterson,Golf
94,554,Peterson,Golf
94,555,Peterson,Golf
94,556,Peterson,Golf
94,557,Peterson,Golf
94,558,Peterson,Golf
95,530,Peterson,Golf
95,531,Peterson,Golf
95,532,Peterson,Golf
95,533,Peterson,Golf
95,534,Peterson,Golf
95,535,Peterson,Golf
95,536,Peterson,Golf
95,537,Peterson,Golf
95,538,Peterson,Golf
95,539,Peterson,Golf
95,540,Peterson,Golf
95,541,Peterson,Golf
95,542,Peterson,Golf
95,543,Peterson,Golf
95,544,Peterson,Golf
95,545,Peterson,Golf
95,546,Peterson,Golf
95,547,Peterson,Golf
95,548,Peterson,Golf
95,549,Peterson,Golf
95,550,Peterson,Golf
95,551,Peterson,Golf
95,552,Peterson,Golf
95,553,Peterson,Golf
95,554,Peterson,Golf
95,555,Peterson,Golf
95,556,Peterson,Golf
95,557,Peterson,Golf
96,530,Peterson,Golf
96,531,Peterson,Golf
96,532,Peterson,Golf
96,533,Peterson,Golf
96,534,Peterson,Golf
96,535,Peterson,Golf
96,536,Peterson,Golf
96,537,Peterson,Golf
96,538,Peterson,Golf
96,539,Peterson,Golf
96,540,Peterson,Golf
96,541,Peterson,Golf
96,542,Peterson,Golf
96,543,Peterson,Golf
96,544,Peterson,Golf
96,545,Peterson,Golf
96,546,Peterson,Golf
96,547,Peterson,Golf
96,548,Peterson,Golf
96,549,Peterson,Golf
96,550,Peterson,Golf
96,551,Peterson,Golf
96,552,Peterson,Golf
96,553,Peterson,Golf
96,554,Peterson,Golf
96,555,Peterson,Golf
96,556,Peterson,Golf
96,557,Peterson,Golf
97,530,Peterson,Golf
97,531,Peterson,Golf
97,532,Peterson,Golf
97,533,Peterson,Golf
97,534,Peterson,Golf
97,535,Peterson,Golf
97,536,Peterson,Golf
97,537,Peterson,Golf
97,538,Peterson,Golf
97,539,Peterson,Golf
97,540,Peterson,Golf
97,541,Peterson,Golf
97,542,Peterson,Golf
97,543,Peterson,Golf
97,544,Peterson,Golf
97,545,Peterson,Golf
97,546,Peterson,Golf
97,547,Peterson,Golf
97,548,Peterson,Golf
97,549,Peterson,Golf
97,550,Peterson,Golf
97,551,Peterson,Golf
97,552,Peterson,Golf
97,553,Peterson,Golf
97,554,Peterson,Golf
97,555,Peterson,Golf
97,556,Peterson,Golf
97,557,Peterson,Golf
98,530,Peterson,Golf
98,531,Peterson,Golf
98,532,Peterson,Golf
98,533,Peterson,Golf
98,534,Peterson,Golf
98,535,Peterson,Golf
98,536,Peterson,Golf
98,537,Peterson,Golf
98,538,Peterson,Golf
98,539,Peterson,Golf
98,540,Peterson,Golf
98,541,Peterson,Golf
98,542,Peterson,Golf
98,543,Peterson,Golf
98,544,Peterson,Golf
98,545,Peterson,Golf
98,546,Peterson,Golf
98,547,Peterson,Golf
98,548,Peterson,Golf
98,549,Peterson,Golf
98,550,Peterson,Golf
98,551,Peterson,Golf
98,552,Peterson,Golf
98,553,Peterson,Golf
98,554,Peterson,Golf
98,555,Peterson,Golf
98,556,Peterson,Golf
98,557,Peterson,Golf
99,531,Peterson,Golf
99,532,Peterson,Golf
99,533,Peterson,Golf
99,534,Peterson,Golf
99,535,Peterson,Golf
99,536,Peterson,Golf
99,537,Peterson,Golf
99,538,Peterson,Golf
99,539,Peterson,Golf
99,540,Peterson,Golf
99,541,Peterson,Golf
99,542,Peterson,Golf
99,543,Peterson,Golf
99,544,Peterson,Golf
99,545,Peterson,Golf
99,546,Peterson,Golf
99,547,Peterson,Golf
99,548,Peterson,Golf
99,549,Peterson,Golf
99,550,Peterson,Golf
99,551,Peterson,Golf
99,552,Peterson,Golf
99,553,Peterson,Golf
99,554,Peterson,Golf
99,555,Peterson,Golf
99,556,Peterson,Golf
99,557,Peterson,Golf
100,531,Peterson,Golf
100,532,Peterson,Golf
100,533,Peterson,Golf
100,534,Peterson,Golf
100,535,Peterson,Golf
100,536,Peterson,Golf
100,537,Peterson,Golf
100,538,Peterson,Golf
100,539,Peterson,Golf
100,540,Peterson,Golf
100,541,Peterson,Golf
100,542,Peterson,Golf
100,543,Peterson,Golf
100,544,Peterson,Golf
100,545,Peterson,Golf
100,546,Peterson,Golf
100,547,Peterson,Golf
100,548,Peterson,Golf
100,549,Peterson,Golf
100,550,Peterson,Golf
100,551,Peterson,Golf
100,552,Peterson,Golf
100,553,Peterson,Golf
100,554,Peterson,Golf
100,555,Peterson,Golf
100,556,Peterson,Golf
100,557,Peterson,Golf
101,531,Peterson,Golf
101,532,Peterson,Golf
101,533,Peterson,Golf
101,534,Peterson,Golf
101,535,Peterson,Golf
101,536,Peterson,Golf
101,537,Peterson,Golf
101,538,Peterson,Golf
101,539,Peterson,Golf
101,540,Peterson,Golf
101,541,Peterson,Golf
101,542,Peterson,Golf
101,543,Peterson,Golf
101,544,Peterson,Golf
101,545,Peterson,Golf
101,546,Peterson,Golf
101,547,Peterson,Golf
101,548,Peterson,Golf
101,549,Peterson,Golf
101,550,Peterson,Golf
101,551,Peterson,Golf
101,552,Peterson,Golf
101,553,Peterson,Golf
101,554,Peterson,Golf
101,555,Peterson,Golf
101,556,Peterson,Golf
101,557,Peterson,Golf
102,531,Peterson,Golf
102,532,Peterson,Golf
102,533,Peterson,Golf
102,534,Peterson,Golf
102,535,Peterson,Golf
102,536,Peterson,Golf
102,537,Peterson,Golf
102,538,Peterson,Golf
102,539,Peterson,Golf
102,540,Peterson,Golf
102,541,Peterson,Golf
102,542,Peterson,Golf
102,543,Peterson,Golf
102,544,Peterson,Golf
102,545,Peterson,Golf
102,546,Peterson,Golf
102,547,Peterson,Golf
102,548,Peterson,Golf
102,549,Peterson,Golf
102,550,Peterson,Golf
102,551,Peterson,Golf
102,552,Peterson,Golf
102,553,Peterson,Golf
102,554,Peterson,Golf
102,555,Peterson,Golf
102,556,Peterson,Golf
102,557,Peterson,Golf
103,532,Peterson,Golf
103,533,Peterson,Golf
103,534,Peterson,Golf
103,535,Peterson,Golf
103,536,Peterson,Golf
103,537,Peterson,Golf
103,538,Peterson,Golf
103,539,Peterson,Golf
103,540,Peterson,Golf
103,541,Peterson,Golf
103,542,Peterson,Golf
103,543,Peterson,Golf
103,544,Peterson,Golf
103,545,Peterson,Golf
103,546,Peterson,Golf
103,547,Peterson,Golf
103,548,Peterson,Golf
103,549,Peterson,Golf
103,550,Peterson,Golf
103,551,Peterson,Golf
103,552,Peterson,Golf
103,553,Peterson,Golf
103,554,Peterson,Golf
103,555,Peterson,Golf
103,556,Peterson,Golf
103,557,Peterson,Golf
104,532,Peterson,Golf
104,533,Peterson,Golf
104,534,Peterson,Golf
104,535,Peterson,Golf
104,536,Peterson,Golf
104,537,Peterson,Golf
104,538,Peterson,Golf
104,539,Peterson,Golf
104,540,Peterson,Golf
104,541,Peterson,Golf
104,542,Peterson,Golf
104,543,Peterson,Golf
104,544,Peterson,Golf
104,545,Peterson,Golf
104,546,Peterson,Golf
104,547,Peterson,Golf
104,548,Peterson,Golf
104,549,Peterson,Golf
104,550,Peterson,Golf
104,551,Peterson,Golf
104,552,Peterson,Golf
104,553,Peterson,Golf
104,554,Peterson,Golf
104,555,Peterson,Golf
104,556,Peterson,Golf
104,557,Peterson,Golf
105,532,Peterson,Golf
105,533,Peterson,Golf
105,534,Peterson,Golf
105,535,Peterson,Golf
105,536,Peterson,Golf
105,537,Peterson,Golf
105,538,Peterson,Golf
105,539,Peterson,Golf
105,540,Peterson,Golf
105,541,Peterson,Golf
105,542,Peterson,Golf
105,543,Peterson,Golf
105,544,Peterson,Golf
105,545,Peterson,Golf
105,546,Peterson,Golf
105,547,Peterson,Golf
105,548,Peterson,Golf
105,549,Peterson,Golf
105,550,Peterson,Golf
105,551,Peterson,Golf
105,552,Peterson,Golf
105,553,Peterson,Golf
105,554,Peterson,Golf
105,555,Peterson,Golf
105,556,Peterson,Golf
105,557,Peterson,Golf
106,532,Peterson,Golf
