well_name,easting,northing,cell
SC01506612CDC CO259-25,523149.68888775795,4289345.0276175905,"(0, 341, 226)"
SC01506613ADD,524238.48773028946,4288485.209648076,"(0, 405, 252)"
SC01506613BCC2,522828.75117537833,4288468.699927772,"(0, 371, 190)"
SC01506613CBD1 U-14B,522959.7807711401,4288234.813770495,"(0, 384, 190)"
SC01506613CBD2 U-14,522959.7807711401,4288234.813770495,"(0, 384, 190)"
SC01506613CCA,523056.87682488497,4288050.15635242,"(0, 395, 190)"
SC01506613CDD,523444.1337669709,4287712.227275978,"(0, 419, 198)"
SC01506613DDC1 U-15,523950.7473521203,4287837.03735617,"(0, 426, 223)"
SC01506614AAC2,522305.73793010873,4289034.370601272,"(0, 333, 182)"
SC01506614AAD SECURITY 2,522498.93444951175,4289004.0879981555,"(0, 339, 189)"
SC01506614ABB,522039.54342090554,4289280.217037101,"(0, 316, 176)"
SC01506614ADD,522693.3548508637,4288542.288999697,"(0, 364, 186)"
SC01506614BAA,522039.54342090554,4289280.217037101,"(0, 316, 176)"
SC01506614BBA  TH-5,521291.6076966229,4289154.861717874,"(0, 303, 141)"
SC01506614DAA1 U-13,522621.28166172846,4288418.7879263535,"(0, 368, 180)"
SC01506614DAD1,522622.2456925519,4288079.72885902,"(0, 383, 172)"
SC01506619ADA2,524126.4419827151,4285618.259299612,"(0, 527, 175)"
SC01506624ABC1,523590.075512459,4287342.776846391,"(0, 439, 195)"
SC01506624ABC2 U-16,523590.075512459,4287342.776846391,"(0, 439, 195)"
SC01506624BAA1,523468.5502238046,4287619.830178009,"(0, 424, 197)"
SC01506624BAD1 WIDEFIELD 4,523420.8063437209,4287434.747039858,"(0, 430, 190)"
SC01506624DAB2 U-18,524026.1464104588,4286850.904003665,"(0, 471, 202)"
SC01506624DBD2 U-19,523737.2254691645,4286572.6192221865,"(0, 476, 182)"
SC01506624DBD3,523737.2254691645,4286572.6192221865,"(0, 476, 182)"
SC01506624DCA1,523810.2116539468,4286387.898234055,"(0, 485, 181)"
SC01506625AAA1,524342.4740137688,4286050.44893618,"(0, 513, 195)"
SC01606504BBB,527686.4545952872,4282701.605897658,"(0, 742, 256)"
SC01606505ADA USGS 384122104410000,527494.3517198582,4282361.879355292,"(0, 752, 240)"
SC01606505ADD,527398.249845299,4282207.428894866,"(0, 756, 232)"
SC01606505CCB FOUNTAIN 3,526144.0941795363,4281555.914483955,"(0, 753, 161)"
SC01606505DCD,527135.3249279332,4281374.28928136,"(0, 786, 199)"
SC01606505DDC,527232.2843142473,4281282.150210444,"(0, 792, 201)"
SC01606505DDC2,527231.968521778,4281374.619843373,"(0, 788, 203)"
SC01606506ABB1,525318.7143012636,4282786.189251106,"(0, 679, 156)"
SC01606506ABB2,525318.7143012636,4282786.189251106,"(0, 679, 156)"
SC01606506ABB3,525318.7143012636,4282786.189251106,"(0, 679, 156)"
SC01606506ABB4,525318.7143012636,4282786.189251106,"(0, 679, 156)"
SC01606506ACC1,525296.796616235,4282077.177406725,"(0, 709, 137)"
SC01606506DAA FOUNTAIN 2,525877.1237162697,4281924.92174269,"(0, 730, 159)"
SC01606506DAB1,525780.3871920507,4281955.43492204,"(0, 727, 155)"
SC01606506DAB2,525780.3871920507,4281955.43492204,"(0, 727, 155)"
SC01606508AAB,527208.436442685,4281189.594715367,"(0, 796, 198)"
SC01606508DBA1 DELBERT WELLS WELL 1,527138.6724511139,4280387.945539563,"(0, 829, 175)"
SC01606508DBB,526921.290771953,4280356.382452802,"(0, 824, 165)"
SC01606508DCB,526946.8017474408,4279955.763396401,"(0, 842, 156)"
SC01606508DCC,526875.2428663853,4279678.110527378,"(0, 853, 146)"
