Well_ID,SDate,Result_ngL,x,y,geometry
PETER-T01-001,12/5/2017,230,525024.2088,4297696.327,POINT (525024.2088426484 4297696.3271699)
PETER-T01-002,12/5/2017,210,525024.2088,4297696.327,POINT (525024.2088426484 4297696.3271699)
PETER-T01-003,12/5/2017,220,524337.4167,4297359.75,POINT (524337.4167241204 4297359.750492749)
PETER-T03-002,12/3/2017,2100,524958.4198,4297419.091,POINT (524958.4197625348 4297419.091050371)
PETER-T03-MW002,12/19/2019,2200,524958.7303,4297419.577,POINT (524958.7302584014 4297419.576755071)
PETER-T03-MW004,8/19/2018,1700,524812.3902,4297372.394,POINT (524812.3902329208 4297372.393821721)
PETER-T03-MW004,12/19/2019,2200,524812.3902,4297372.394,POINT (524812.3902329208 4297372.393821721)
PETER-T04-002,12/6/2017,150,525091.5328,4296693.465,POINT (525091.5327972374 4296693.46452063)
PETER-T04-004,12/7/2017,560,525398.5348,4297000.13,POINT (525398.5347859076 4297000.130072474)
PETER-T04-004,8/16/2018,6400,525398.5348,4297000.13,POINT (525398.5347859076 4297000.130072474)
PETER-T04-MW004,8/16/2018,6400,525402.7427,4296995.716,POINT (525402.7427067992 4296995.716140659)
PETER-T04-MW004,12/19/2019,6670,525402.7427,4296995.716,POINT (525402.7427067992 4296995.716140659)
PETER-T04-MW006,9/7/2018,780,526066.7597,4296284.955,POINT (526066.7596793169 4296284.95534927)
PETER-T05-MW001,9/7/2018,820,526037.4922,4296249.994,POINT (526037.4921946196 4296249.993700227)
PETER-T07-001,12/18/2017,690,525780.2658,4295332.509,POINT (525780.2658122503 4295332.508946169)
PETER-T07-003,12/19/2017,990,526118.8579,4295179.506,POINT (526118.8579092753 4295179.505618276)
PETER-T07-004,12/18/2017,990,526212.8361,4295147.907,POINT (526212.836057687 4295147.906711744)
PETER-T13-003,12/16/2017,380,525355.1088,4292608.674,POINT (525355.108759509 4292608.673719706)
PETER-T13-004,12/15/2017,330,525460.6446,4292573.355,POINT (525460.6446419902 4292573.354629212)
PETER-T13-MW001,12/18/2019,121,525180.8217,4292640.905,POINT (525180.821734477 4292640.905143511)
PETER-T13-MW001,9/5/2018,120,524377.3637,4293885.296,POINT (524377.3636619722 4293885.296458949)
PETER-T13-MW003,9/5/2018,110,524377.7607,4294122.963,POINT (524377.7607336503 4294122.962952719)
PETER-T13-MW004,8/28/2018,310,524378.8661,4293991.934,POINT (524378.8660822791 4293991.934300911)
PETER-T13-MW006,8/28/2018,590,524375.1645,4293762.818,POINT (524375.1644591019 4293762.817776091)
PETER-T13-MW006,12/18/2019,713,524377.704,4293887.354,POINT (524377.7040459359 4293887.354277722)
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
