Period,CELLID,STAGE,COND,RBOT,BOUNDNAME
1,"(0, 263, 671)",1818.0,190.987,1817.9,jimmy
1,"(0, 206, 670)",1831.0,195.982,1830.9,jimmy
1,"(0, 207, 670)",1831.0,589.709,1830.9,jimmy
1,"(0, 208, 670)",1831.0,589.709,1830.9,jimmy
1,"(0, 209, 670)",1830.0,589.709,1829.9,jimmy
1,"(0, 210, 670)",1830.0,589.709,1829.9,jimmy
1,"(0, 211, 670)",1830.0,590.003,1829.9,jimmy
1,"(0, 212, 670)",1830.0,593.823,1829.9,jimmy
1,"(0, 213, 670)",1830.0,593.823,1829.9,jimmy
1,"(0, 214, 670)",1829.0,425.754,1828.9,jimmy
1,"(0, 258, 670)",1819.0,758.953,1818.9,jimmy
1,"(0, 259, 670)",1819.0,19.3925,1818.9,jimmy
1,"(0, 263, 670)",1818.0,529.7685,1817.9,jimmy
1,"(0, 264, 670)",1818.0,486.2825,1817.9,jimmy
1,"(0, 214, 669)",1829.0,168.0685,1828.9,jimmy
1,"(0, 215, 669)",1829.0,593.823,1828.9,jimmy
1,"(0, 216, 669)",1829.0,593.823,1828.9,jimmy
1,"(0, 217, 669)",1829.0,657.2895,1828.9,jimmy
1,"(0, 218, 669)",1829.0,250.34,1828.9,jimmy
1,"(0, 259, 669)",1819.0,756.015,1818.9,jimmy
1,"(0, 264, 669)",1818.0,234.4735,1817.9,jimmy
1,"(0, 265, 669)",1818.0,720.7555,1817.9,jimmy
1,"(0, 266, 669)",1818.0,60.528,1817.9,jimmy
1,"(0, 218, 668)",1829.0,498.623,1828.9,jimmy
1,"(0, 219, 668)",1829.0,450.4355,1828.9,jimmy
1,"(0, 258, 668)",1819.0,34.9655,1818.9,jimmy
1,"(0, 259, 668)",1819.0,835.054,1818.9,jimmy
1,"(0, 260, 668)",1819.0,172.476,1818.9,jimmy
1,"(0, 266, 668)",1818.0,643.1855,1817.9,jimmy
1,"(0, 267, 668)",1817.0,588.8275,1816.9,jimmy
1,"(0, 268, 668)",1817.0,588.8275,1816.9,jimmy
1,"(0, 269, 668)",1817.0,588.8275,1816.9,jimmy
1,"(0, 270, 668)",1817.0,588.8275,1816.9,jimmy
1,"(0, 271, 668)",1816.0,588.8275,1815.9,jimmy
1,"(0, 272, 668)",1816.0,588.8275,1815.9,jimmy
1,"(0, 273, 668)",1816.0,676.9755,1815.9,jimmy
1,"(0, 274, 668)",1816.0,357.8805,1815.9,jimmy
1,"(0, 219, 667)",1828.0,298.5275,1827.9,jimmy
1,"(0, 220, 667)",1828.0,650.5315,1827.9,jimmy
1,"(0, 257, 667)",1819.0,551.8055,1818.9,jimmy
1,"(0, 258, 667)",1819.0,640.835,1818.9,jimmy
1,"(0, 274, 667)",1816.0,400.485,1815.9,jimmy
1,"(0, 275, 667)",1816.0,530.65,1815.9,jimmy
1,"(0, 220, 666)",1828.0,98.138,1827.9,jimmy
1,"(0, 221, 666)",1828.0,748.963,1827.9,jimmy
1,"(0, 222, 666)",1828.0,101.9575,1827.9,jimmy
1,"(0, 254, 666)",1820.0,111.0665,1819.9,jimmy
1,"(0, 255, 666)",1820.0,624.6745,1819.9,jimmy
1,"(0, 256, 666)",1819.0,652.588,1818.9,jimmy
1,"(0, 257, 666)",1819.0,123.701,1818.9,jimmy
1,"(0, 275, 666)",1816.0,227.7155,1815.9,jimmy
1,"(0, 276, 666)",1816.0,703.126,1815.9,jimmy
1,"(0, 222, 665)",1828.0,647.0055,1827.9,jimmy
1,"(0, 223, 665)",1828.0,302.0535,1827.9,jimmy
1,"(0, 252, 665)",1820.0,243.876,1819.9,jimmy
1,"(0, 253, 665)",1820.0,634.9585,1819.9,jimmy
1,"(0, 254, 665)",1820.0,513.608,1819.9,jimmy
1,"(0, 276, 665)",1816.0,54.9455,1815.9,jimmy
1,"(0, 277, 665)",1815.0,758.0715,1814.9,jimmy
1,"(0, 278, 665)",1816.0,117.8245,1815.9,jimmy
1,"(0, 223, 664)",1828.0,446.616,1827.9,jimmy
1,"(0, 224, 664)",1827.0,502.443,1826.9,jimmy
1,"(0, 251, 664)",1821.0,111.36,1820.9,jimmy
1,"(0, 252, 664)",1820.0,661.403,1819.9,jimmy
